State,When/Why,Vibe/Feel,Nova,Echo,Orbit,Flare,Apex
Resting,Default idle state. No active session. Agent is not called upon. The current base concept images ARE this state.,"Asleep, peaceful, quietly present.","Violet sphere, soul at rest, purple+white particles drifting evenly, soft ambient inner glow.","Mint arch, arch-soul at rest, sparse mint particles drifting, soft ambient inner glow.","Cobalt squircle, spherical soul at rest, blue particles orbiting slowly, soft ambient inner glow.","Coral faceted teardrop, teardrop soul at rest, coral bubble particles rising slowly, soft ambient inner glow.","Amber icosahedron, sphere soul at rest with faint cheek blush, amber+gold particles drifting, soft ambient inner glow."
Waking,A session is about to start or the agent is being invoked. Transitional moment — seconds long.,"Stirring, coming online, first breath.","Eyes mid-open, purple aura blooms outward from soul once, particles organizing.","Eyes mid-open, mint aura blooms once, mint particles settling into an organized drift.","Eyes mid-open, blue aura blooms once, particles beginning their orbit.","Eyes mid-open, coral aura blooms once, bubble particles starting to rise.","Eyes mid-open, amber aura blooms once, trajectory particles beginning to form."
Listening,"Someone is speaking, asking a question, or the agent is observing activity in the room.","Attentive, receptive, leaning in.","Eyes soft & turned toward source, purple aura asymmetric (brighter on source side), particles drift toward sound, soul leans 5°.","Arch-soul tilts toward source, mint aura asymmetric, particles drift toward the sound, ready to capture.","Spherical soul tilts toward builder, cobalt aura asymmetric, particles lean in the heard direction.","Teardrop soul leans toward source, coral aura asymmetric, bubble particles drift toward the sound.","Soul leans toward signal, amber aura asymmetric, trajectory particles tilt toward source."
Thinking,"Agent is reasoning — clustering Q&A, searching memory, matching context, drafting content, analyzing a launch.","Processing, introspective, concentrating.","Eyes closed or up, purple aura contracts inward in concentric rings, particles spiral into soul, faint shell translucency hint.","Eyes closed in recall, mint aura contracts inward, particles spiral into arch-soul, faint translucency.","Eyes softly focused, cobalt aura contracts inward, particles spiral into the sphere-soul, faint translucency.","Eyes looking up in consideration, coral aura contracts inward, bubble particles spiral inward, faint translucency.","Eyes concentrated, amber aura contracts inward, trajectory particles spiral into soul, faint translucency."
Speaking,"Agent is producing output — announcing, welcoming, publishing, responding. Key active state.","Active, warm, broadcasting, lantern-from-within.","Small 'o' mouth, purple aura pulses outward in concentric waves hitting inner shell, shell glows rhythmically brighter.","Small 'o' mouth, mint aura pulses outward, arch-soul pulses with voice cadence, shell glows brighter in rhythm.","Small 'o' mouth, cobalt aura pulses outward, sphere-soul pulses rhythmically, shell glows with each beat.","Small 'o' mouth, coral aura pulses outward strongly (Flare's signature broadcasting motif carried over to speaking), shell glows rhythmically.","Small 'o' mouth, amber aura pulses outward, sphere-soul pulses, shell glows rhythmically brighter."
Delighted,"A moment of delight — great question from a builder, a hunter says yes, a demo lands, a breakthrough insight.","Joyful, sparking, buoyant.","Crinkle-smile eyes, smile mouth, warmer cheek blush, purple aura sparkles with gold-white flickers, particles brighten & multiply.","Crinkle-smile eyes, smile mouth, mint aura warmer with gold flickers, particles brighter & sparkling.","Crinkle-smile eyes, smile mouth, cobalt aura with warm gold flickers, particles brighter & multiplied.","Crinkle-smile eyes, smile mouth (widest of all agents here — Flare loves joy), coral aura sparkles with gold, bubble particles multiply.","Crinkle-smile eyes, warm smile, amber aura sparkles with extra gold warmth, particles brighten & multiply."
Mind-Blown,"Rare awe-struck moment — Sam Altman says something game-changing, PH rank hits #1, impossible bug solved. Very sparing use.","Rare, awestruck, transcendent — the only state that cracks open the shell.","Wide eyes, small round 'o' mouth, purple aura bursts outward, shell FULLY TRANSLUCENT revealing neural dendrite network inside.","Wide eyes, round 'o' mouth, mint aura bursts outward, shell translucent revealing stacked echo rings / memory layers.","Wide eyes, round 'o' mouth, cobalt aura bursts outward, shell translucent revealing orbital arcs and concentric spheres.","Wide eyes, round 'o' mouth, coral aura bursts outward, shell translucent revealing prismatic crystal facets and aurora bloom.","Wide eyes, round 'o' mouth, amber aura bursts outward, shell translucent revealing rising trajectory lattice."
Confused,"Something went off-script — off-topic question, error thrown, unclear input. Brief and recoverable.","Uncertain, off-kilter, recoverable.","One eye larger (off-kilter), squiggle mouth, sweat bead on one cheek, purple aura flickers unevenly, particles clump to one side, soul tilts 10°.","Off-kilter eyes, squiggle mouth, mint aura flickers unevenly, particles clump asymmetrically, arch-soul tilts.","Off-kilter eyes, squiggle mouth, cobalt aura flickers, particles freeze mid-orbit and clump to one side, soul tilts.","Off-kilter eyes, squiggle mouth, coral aura flickers unevenly, bubble particles freeze & clump, soul tilts.","Off-kilter eyes, squiggle mouth, amber aura flickers, trajectory particles scatter and clump, soul tilts."
Welcoming,A new attendee joins a session. Nova greets them by name and introduces them to the room. Happens many times per session.,"Hospitable, open, hand-extended.","Soft eyes forward, gentle smile, warmer cheek blush. Soul leans 5° forward (bow). Purple aura has warm forward-facing bloom. Particles drift outward toward viewer.",—,—,—,—
Orchestrating,"Nova is managing session flow — hitting transitions, nudging host on timing, introducing a presenter.","Conducting, tempo-keeping.","Alert eyes scan side-to-side, lightly pressed lips. Purple aura has a gentle clockwise rotational sweep. Particles circulate clockwise around the soul.",—,—,—,—
Moderating,"Nova is flagging off-topic content, resolving disputes, pausing disruption.","Calm authority, firm, composed.","Steady direct eyes, calm firm line for mouth. Purple aura shifts cooler/deeper (toward blue-purple). Particles hold stable symmetric formation.",—,—,—,—
Capturing,"Actively tagging/recording a moment — Nova flagged a great question, a code snippet was shared, a key quote landed.","Active preservation, noting.",—,"Gently focused eyes, slightly parted mouth. Particles freeze then get pulled into soul. Mint aura has single inward pulse with amber tint threaded through.",—,—,—
Recalling,Surfacing a memory — someone asks 'what did we decide last week?' Echo searches its archive.,"Inward gaze, memory retrieval.",—,"Eyes closed or inward, slightly parted mouth. Particles cascade outward from soul in a timeline trail like an unfurling scroll. Mint aura streams directionally outward.",—,—,—
Recapping,"Generating the post-session recap — extended synthesis, weaving threads together.","Thoughtful synthesis, weaving.",—,"Thoughtful eyes, knowing smile. Particles form a gentle weaving braid pattern. Mint aura has layered interleaving ribbons of light.",—,—,—
Assisting,"Actively helping a builder — offering a code suggestion, answering a question in CoBuild. Orbit's default working mode.","Focused, nearby, dialed-in.",—,—,"Eyes focused forward and slightly down (watching code). Particles form tight orbital ring close around soul. Cobalt aura concentrates near soul, ring glows brighter.",—,—
Matching,Connecting two builders with complementary skills. Unique to Orbit's matching role.,"Connective, binary-star.",—,—,"Soft eyes between two points, subtle warm smile. Particles split into two paired clusters orbiting each other like a binary star. Aura has two bright focal points with connecting glow.",—,—
Debugging,"Helping triage an error — serious, focused, diagnostic.","Sharp, diagnostic, fast loops.",—,—,"Narrowed sharp eyes, pressed mouth. Particles move in fast tight diagnostic loops. Cobalt aura is sharp and directed, soul slightly narrower and more saturated.",—,—
Composing,"Drafting a post, quote card, or highlight reel — a creative generative state.",Creative iteration.,—,—,—,"Creative eyes looking up, softly parted mouth. Particles cluster and recombine into geometric shapes (cards, text blocks) then dissolve. Coral aura has generative swirling patterns.",—
Broadcasting,Publishing content live to LinkedIn / X / etc. Flare's signature moment.,"Outward send, amplification.",—,—,—,"Confident forward eyes, subtle confident smile. Particles stream outward in directed beams from soul to shell. Coral aura forms coordinated outward 'send' beams.",—
